 1     -20,247082    
 2     -20,225704    
 3     -15,441403  
 4     -15,383062    
 5     -15,371284    
 6     -15,324515  
 7     -11,197704   
 8     -11,178067
 9     -11,131189  
10     -11,121618    
11     -11,109928    
12     -11,092803  
13     -11,087440    
14     -11,062376    
15     -1,342119  
16     -1,323132    
17     -1,296137    
18     -1,194770  
19     -1,155515    
20     -1,123412    
21     -0,997154  
22     -0,933926    
23     -0,911819    
24     -0,892134  
25     -0,799811    
26     -0,775238    
27     -0,743325  
28     -0,704387    
29     -0,641065    
30     -0,630467  
31     -0,614435    
32     -0,604755    
33     -0,581140  
34     -0,575397    
35     -0,556841    
36     -0,548858  
37     -0,540913    
38     -0,530721    
39     -0,520947  
40     -0,519478    
41     -0,499174    
42     -0,491098  
43     -0,479078    
44     -0,467578    
45     -0,377965  
46     -0,376771    
47     -0,350653    
48     -0,327115  
49     -0,312790    
50     -0,290231    
51     -0,230436
